movie,tokenCount,characterCount,sectionCount,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,totalProbSum
insiderthe,13069,76,1596,0.118150997450827,0.131251358839184,0.120413750443296,0.126097143405546,0.130037375357704,0.114905903004223,0.134681883965136,0.124461587534084,162.904507080288
insidious,11083,37,1252,0.114152576243858,0.133521413706326,0.112025631514457,0.120860051061428,0.132223729117731,0.11872507365525,0.142509691941611,0.125981832759339,99.6065401339862
insomnia,12624,35,1688,0.114362872589569,0.133535619603294,0.114753981421652,0.121775558943575,0.131364506716879,0.118068128219696,0.140586094506816,0.125553237998519,110.063050599562
interviewwiththevampire,11128,29,1446,0.115683483849392,0.132467889915337,0.113119927519045,0.121056982147424,0.131901558379474,0.115576769242718,0.142395012330897,0.127798376615712,95.8231612349496
intolerablecruelty,8306,56,1300,0.120470096395796,0.130801078051653,0.120645463884803,0.125378347276645,0.129088771345435,0.112719017724585,0.136192772941152,0.124704452379931,68.2772864450541
invictus,14337,98,1577,0.117529332665819,0.131381514427444,0.115935640085598,0.123298795112284,0.127897706119486,0.11945132557156,0.138133570751716,0.126372115266092,160.754301093737
istillknowwhatyoudidlastsummer,10312,28,1330,0.115498821491487,0.133082097686651,0.114060154050552,0.122593365128765,0.131470070082631,0.117199358505585,0.140682832119136,0.125413300935192,91.3166020633768
italianjobthe,10519,38,1330,0.117566954244553,0.133409271053791,0.115616857218342,0.123610640062714,0.130589764508233,0.116704095922379,0.137708336793232,0.124794080196755,97.5735397915262
itsawonderfullife,16878,97,2205,0.114862690053677,0.13210128270484,0.116948187608567,0.123447100316488,0.131266043006925,0.116514679731779,0.13927531481455,0.125584701763173,224.201134876143
jacobsladder,17299,64,1562,0.119496820744501,0.131636183497981,0.116183942614436,0.122564065073693,0.129681682725836,0.11431500700645,0.138794485615383,0.12732781272172,165.085741472519
janeeyre,13917,49,1663,0.117817461837315,0.129887845135615,0.117118639749417,0.122380825599371,0.129240503349406,0.115953972765926,0.138505310825132,0.129095440737817,118.646119445337
jasonx,10685,39,1798,0.113801195080398,0.133237670607068,0.112059350658591,0.120959010617814,0.131629019139464,0.119357183453667,0.144189208621043,0.124767361821955,82.8900792368769
jaws,14429,67,1124,0.118422554274504,0.131548945205395,0.114629629020584,0.120368979238607,0.128583358452488,0.117968981287319,0.141851543106184,0.126626009414918,115.390266467555
jaws2,12346,64,1538,0.115308575759341,0.131764744200548,0.114357078150716,0.121852859601026,0.130043633905716,0.118062618093738,0.143213218173443,0.125397272115474,113.205470102217
jayandsilentbobstrikeback,11873,77,1498,0.11727475739379,0.130930176296158,0.123293016950256,0.127731245491872,0.130233955399421,0.115522842368122,0.132507922214298,0.122506083886084,130.596060934506
juno,9276,30,1279,0.112852568680643,0.13415667585564,0.115876926453525,0.124845242739986,0.131065469024194,0.115259126826345,0.142962326923918,0.122981663495749,88.719879337301
jurassicparkiii,9795,30,971,0.11791948257069,0.132899258815932,0.11531288672673,0.122503756672414,0.129026503388038,0.117234380638308,0.139237954927449,0.125865776260438,89.0624760462711
jurassicparkthelostworld,15781,34,1133,0.118854139141568,0.131478317405019,0.114107013970346,0.121430706831497,0.130098722206975,0.118185056347768,0.139328406097372,0.126517637999454,125.543618462267
kalifornia,13864,31,1563,0.120938737095187,0.131958909411874,0.115394545234274,0.120768662983735,0.130230284276237,0.116666789292949,0.135249768333123,0.12879230337262,118.956452947832
kateleopold,10554,34,1486,0.115841655732126,0.132416861130613,0.115827003420076,0.123364998485982,0.131259342855615,0.116270503826528,0.139998956386474,0.125020678162586,102.667079470001
killingzoe,8837,23,1291,0.116810402845528,0.132552035320862,0.114411209527811,0.122016082279145,0.130281656696092,0.116934502962179,0.14208512326158,0.124908987106803,85.3309081951876
klute,12022,48,1251,0.118298301489531,0.13154877955653,0.118745023463497,0.124310108153554,0.129482794071329,0.114731663482222,0.137125135501954,0.125758194281383,137.219007889268
