id|movie|tokenCount|characterCount|sectionCount|anger|anticipation|disgust|fear|joy|sadness|surprise|trust|angerPercentile|anticipationPercentile|disgustPercentile|fearPercentile|joyPercentile|sadnessPercentile|surprisePercentile|trustPercentile
13|airplane|11264|78|1631|0.0248579545454545|0.0493607954545455|0.0158913352272727|0.0396839488636364|0.025390625|0.0336470170454545|0.0250355113636364|0.0482954545454545|0.0865384615384615|0.819711538461539|0.103365384615385|0.353365384615385|0.213942307692308|0.471153846153846|0.0721153846153846|0.526442307692308
14|airplane2thesequel|13097|133|1815|0.0351225471482019|0.0410781094907231|0.0245857830037413|0.0503168664579675|0.0251966099106666|0.0412308162174544|0.0311521722531878|0.0496296861876766|0.466346153846154|0.408653846153846|0.649038461538462|0.637019230769231|0.206730769230769|0.826923076923077|0.473557692307692|0.588942307692308
15|alien|12409|8|1537|0.030300588282698|0.0527842694818277|0.0402127488113466|0.052945442823757|0.0195825610444033|0.0368281086308325|0.0244983479732452|0.0499637359980659|0.293269230769231|0.920673076923077|0.978365384615385|0.706730769230769|0.0528846153846154|0.673076923076923|0.0504807692307692|0.603365384615385
16|aliennation|14605|60|1173|0.0403286545703526|0.0323861691201643|0.0267031838411503|0.0624443683669976|0.0192399863060596|0.0299212598425197|0.0300581992468333|0.0391646696336871|0.651442307692308|0.0288461538461538|0.740384615384615|0.884615384615385|0.0432692307692308|0.223557692307692|0.370192307692308|0.115384615384615
17|aliens|16375|36|1418|0.0516030534351145|0.0335267175572519|0.0313282442748092|0.0749312977099237|0.0181374045801527|0.0406106870229008|0.0313893129770992|0.04|0.918269230769231|0.0408653846153846|0.884615384615385|0.973557692307692|0.03125|0.8125|0.485576923076923|0.141826923076923
18|allabouteve|16341|26|1843|0.0230708035003978|0.0502417232727495|0.0147481794259837|0.0275992901291231|0.046692368888073|0.0270485282418457|0.0387981151704302|0.0533627073006548|0.0649038461538462|0.84375|0.0576923076923077|0.0456730769230769|0.915865384615385|0.103365384615385|0.899038461538462|0.706730769230769
19|almostfamous|19583|75|1991|0.0286472961241894|0.0531583516315171|0.0159832507787367|0.0360006127763877|0.0461114231731604|0.0330388602359189|0.0298728488995557|0.0567328805596691|0.216346153846154|0.925480769230769|0.108173076923077|0.216346153846154|0.901442307692308|0.420673076923077|0.355769230769231|0.798076923076923
20|amadeus|19771|58|2059|0.0297911081887613|0.0579131050528552|0.0197258611097061|0.0378331900257954|0.0606443781295837|0.0454706388144252|0.0386424561226038|0.0719235243538516|0.252403846153846|0.96875|0.394230769230769|0.290865384615385|0.990384615384615|0.913461538461539|0.889423076923077|0.96875
21|americanpie|11986|55|1667|0.0257800767562156|0.044468546637744|0.0205239446020357|0.0269481061238111|0.0433005172701485|0.0271149674620391|0.0281995661605206|0.0452194226597697|0.112980769230769|0.605769230769231|0.442307692307692|0.0288461538461538|0.84375|0.115384615384615|0.21875|0.348557692307692
22|americansplendor|11251|46|1077|0.0311972269131633|0.0442627322015821|0.0228424140076438|0.0352857523775664|0.035819038307706|0.0346635854590703|0.0333303706337215|0.0479068527242023|0.322115384615385|0.596153846153846|0.564903846153846|0.197115384615385|0.649038461538462|0.548076923076923|0.634615384615385|0.487980769230769
23|americanwerewolfinlondon|9320|40|1291|0.0487124463519313|0.0413090128755365|0.0318669527896996|0.0650214592274678|0.0317596566523605|0.0490343347639485|0.0375536480686695|0.0541845493562232|0.865384615384615|0.432692307692308|0.887019230769231|0.913461538461539|0.490384615384615|0.963942307692308|0.875|0.737980769230769
