movie,entropy,pctRecordsDropped,pctTokensDropped,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount,mixedDescriptionWithDialogueIndentCount
anastasia,1.36588833179405,0.0481423338566196,0.0227844281259431,2,2,1,1,10,0,0
fearandloathinginlasvegas,1.36645919624492,0.0637254901960784,0.0260906157946416,1,1,1,1,1,0,0
toystory,1.36801634435464,0.060501495284104,0.0289172831203766,1,1,1,1,1,0,0
amadeus,1.3697625477269,0.0429203539823009,0.0180312463291437,1,2,1,1,1,0,0
8mm,1.3711738915813,0.0645459589421121,0.0336302672405165,1,2,1,1,5,0,0
someonetowatchoverme,1.37366318590412,0.103024574669187,0.0398627510344132,1,1,1,1,2,0,0
lastflightthe,1.3752379549645,0.0563546333411931,0.0253401034680973,1,1,1,1,1,0,0
asgoodasitgets,1.37529361547447,0.0636342752124971,0.028953341740227,1,1,1,1,1,0,0
icestormthe,1.37594641163065,0.0468901846452867,0.0246680312811631,1,1,1,1,2,0,0
10thingsihateaboutyou,1.37708619585295,0.0372931588046431,0.015593876273405,1,1,1,1,1,0,0
fabulousbakerboysthe,1.3786285513383,0.037550127597521,0.0177378204349411,1,1,1,1,1,0,0
fourrooms,1.37946459738274,0.0522292993630573,0.0250150953161391,1,1,1,1,1,0,0
sandlotkidsthe,1.37976695918065,0.000955109837631328,0.000736222128733698,1,2,1,1,0,0,0
cruelintentions,1.38040837519321,0.0283687943262411,0.0133762996291117,1,1,1,1,1,0,0
rockthe,1.38172748919854,0.0501378791677112,0.0206269565590291,1,2,1,1,10,0,0
solaris,1.38387584503128,0.0583941605839416,0.0244502928941336,1,1,1,1,2,0,0
gangrelated,1.38505959774626,0.0419435215946844,0.01834702839007,1,1,1,1,1,0,0
sideways,1.38517762064815,0.0427786499215071,0.0208835341365462,1,1,1,1,1,0,0
loveandbasketball,1.38596421492544,0.0255279647249942,0.00894284572342126,1,1,1,3,1,0,0
verdictthe,1.38704168283034,0.0670046286092131,0.0284157259634099,1,1,1,1,1,0,0
deepcover,1.39072382294105,0.0764346764346764,0.0354245401864449,1,1,1,1,1,0,0
affliction,1.39340892251503,0.0659214674691889,0.027900337399429,1,1,1,1,1,0,0
timemachinethe,1.39428086128329,0.0573647294589178,0.0316676858565563,2,2,1,1,3,0,0
aliens,1.39530853375082,0.0467927471241958,0.0158233670653174,2,2,1,1,3,0,0
anniversarypartythe,1.39689589443095,0.0083417593528817,0.00444642063139173,1,1,1,2,1,0,0
l.a.confidential,1.3969377499861,0.0430821787815525,0.0206068010588475,1,2,1,1,2,0,0
punchdrunklove,1.39715033337262,0.0315547905909352,0.0146390374331551,1,1,1,1,1,0,0
nextfriday,1.39875354621608,0.0255372158206166,0.0123974946729515,1,1,1,1,2,0,0
outofsight,1.40140975734651,0.0469684030742955,0.0200427763212364,1,1,1,1,2,0,0
runawaybride,1.40175510077975,0.0732177263969172,0.0296362248791656,1,1,1,1,2,0,0
capote,1.40317171665879,0.064915382672392,0.0281241981011034,1,2,1,1,1,0,0
airplane,1.40318290115946,0.0408796895213454,0.019726605912425,1,2,1,1,2,0,0
frances,1.40358054730358,0.0627745241581259,0.026336447130858,1,2,1,1,2,0,0
fromdusktilldawn,1.40510833406617,0.055756698044895,0.0301772745726014,1,1,1,1,2,0,0
stationwest,1.40648116314646,0.0707336846372112,0.0309476142809476,1,2,1,1,1,0,0
cincinnatikidthe,1.40674776119603,0.0636903542903952,0.0293143424975157,1,1,1,1,1,0,0
sexliesandvideotape,1.40732630801939,0.0481269510926119,0.0229839768846861,1,2,1,1,2,0,0
sisteract,1.40742221754612,0.0490726429675425,0.0227023068473087,1,1,1,1,1,0,0
snowfallingoncedars,1.4080304818312,0.00129407958589453,0.000571870689945168,3,2,1,1,2,0,0
illdoanything,1.40850736572805,0.0758634457975644,0.0315665091154625,1,1,1,1,1,0,0
bottlerocket,1.41049955735776,0.0391125343092406,0.0185224052891174,1,1,1,1,1,0,0
broadcastnews,1.4106929501116,0.0633531676583829,0.0286398861892104,1,1,1,1,4,0,0
sphere,1.41177377529643,0.036968233327141,0.0180630630630631,1,1,1,1,1,0,0
shakespeareinlove,1.41177724962977,0.057945566286216,0.0266293554793284,1,1,1,1,2,0,0
houseof1000corpses,1.41214334320574,0.0652121793334932,0.0319743798291989,1,1,1,1,1,0,0
blastfromthepastthe,1.41402128398998,0.0350511557408109,0.0205541823858462,1,2,1,1,4,0,0
