id|movie|tokenCount|characterCount|sectionCount|genreList|Action|Adventure|Animation|Biography|Comedy|Crime|Drama|Family|Fantasy|Film-Noir|History|Horror|Music|Musical|Mystery|Romance|Sci-Fi|Short|Sport|Thriller|War|Western|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|genreCount
42|avengersthe2012|13987|38|1405|Action, Adventure, Sci-Fi|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0.0564448767935507|-0.00333887028885106|-0.0969886331180027|0.0344169881912551|0.0573998718047692|0.00501725649662123|0.0384861438360455|-0.00868038726636602|3
43|bachelorparty|12389|66|1501|Comedy|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0470368846811181|-0.0227256791536438|0.0183788077065318|-0.0282289347256532|-0.00127278664404766|-0.0780905039245336|0.0543969628816451|0.0845338987504804|1
44|backdraft|15638|48|1676|Action, Drama, Mystery, Thriller|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0.0354123328695862|0.0534617586048123|0.00106002674669651|-0.00772076075025527|-0.00395811434083959|-0.0547365798611967|-0.130573671024574|0.0524429729169558|4
45|badcountry|13814|69|1470|Action, Crime, Drama|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0655342991797971|0.0347902018061285|-0.051211538283803|-0.00602510353048417|0.017989182239677|0.0261994918075086|0.0207094184827526|0.00355076290683088|3
46|badlieutenant|8537|41|465|Crime, Drama|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0531845814098548|-0.113780098482675|-0.0621256448573672|0.0353895750468108|-0.0326114474265362|0.0143349493281223|-0.0141467573748513|0.0203520143600252|2
47|badsanta|9100|43|1128|Comedy, Crime|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0327779481275979|0.0178634228684505|0.0349122338691606|0.0193996307607222|-0.0368469083277299|-0.085174880008582|0.0721701269355894|-0.00521311779303874|2
48|bamboozled|13372|73|1762|Comedy, Drama|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0484745746469033|-0.0551221518553334|-0.00424204168723639|-0.00890117618608716|0.0356058028376606|0.0427518577688605|0.0248137162342004|0.00863100994432407|2
49|barrylyndon|17437|62|1464|Drama, Romance, War|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0.00531773277196057|-0.221944508670501|-0.0228559408908858|0.050303702291565|0.00777196091888854|-0.0135012270123504|-0.00272126410246638|-0.00778624202823922|3
50|basicinstinct|10561|33|1489|Crime, Mystery, Thriller|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|-0.0361177454119542|0.0303831496811107|0.00974617392730438|-0.067864558452771|0.00304893926731264|0.0467330396013672|-0.0846198192430935|0.0336332006265436|3
51|battleofshakerheightsthe|10253|38|1515|Comedy, Drama, Romance|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.0454076506393907|0.0245645744952359|0.0237491857266336|0.00312456019902837|0.0238989143955808|-0.0218079230483935|0.00434083384134239|0.00392797136993296|3
