movie|genreList|filename|path|Action|Adventure|Animation|Biography|Comedy|Crime|Drama|Family|Fantasy|Film-Noir|History|Horror|Music|Musical|Mystery|Romance|Sci-Fi|Short|Sport|Thriller|War|Western
argo|Drama, Thriller|argo.txt|Drama/argo.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
armageddon|Action, Sci-Fi, Thriller|armageddon.txt|Action/armageddon.txt|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0
armyofdarkness|Action, Adventure, Comedy, Fantasy, Horror|armyofdarkness.txt|Action/armyofdarkness.txt|1|1|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0
arsenicandoldlace|Comedy, Crime|arsenicandoldlace.txt|Comedy/arsenicandoldlace.txt|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
arthur|Comedy|arthur.txt|Comedy/arthur.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
artistthe|Comedy, Drama, Romance|artistthe.txt|Comedy/artistthe.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
aseriousman|Comedy|aseriousman.txt|Comedy/aseriousman.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
asgoodasitgets|Comedy, Drama, Romance|asgoodasitgets.txt|Comedy/asgoodasitgets.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
assassins|Action, Thriller|assassins.txt|Action/assassins.txt|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
assignmentthe|Thriller|assignmentthe.txt|Thriller/assignmentthe.txt|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
atfirstsight|Drama|atfirstsight.txt|Drama/atfirstsight.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
augustosagecounty|Drama|augustosagecounty.txt|Drama/augustosagecounty.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
austinpowersinternationalmanofmystery|Action, Comedy|austinpowersinternationalmanofmystery.txt|Action/austinpowersinternationalmanofmystery.txt|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
austinpowersthespywhoshaggedme|Action, Comedy|austinpowersthespywhoshaggedme.txt|Action/austinpowersthespywhoshaggedme.txt|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
authorsanonymous|Comedy|authorsanonymous.txt|Comedy/authorsanonymous.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
autumninnewyork|Drama, Romance|autumninnewyork.txt|Drama/autumninnewyork.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
avatar|Action, Adventure, Sci-Fi|avatar.txt|Action/avatar.txt|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
avengersthe|Action, Adventure|avengersthe.txt|Action/avengersthe.txt|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
avengersthe2012|Action, Adventure, Sci-Fi|avengersthe2012.txt|Action/avengersthe2012.txt|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
avventuraltheadventure|Drama, Mystery, Thriller|avventuraltheadventure.txt|Drama/avventuraltheadventure.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
awakenings|Drama|awakenings.txt|Drama/awakenings.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
babel|Drama, Thriller|babel.txt|Drama/babel.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
bachelorparty|Comedy|bachelorparty.txt|Comedy/bachelorparty.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
bachelorpartythe|Drama|bachelorpartythe.txt|Drama/bachelorpartythe.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
backdraft|Action, Drama, Mystery, Thriller|backdraft.txt|Action/backdraft.txt|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
backupplanthe|Comedy, Romance|backupplanthe.txt|Comedy/backupplanthe.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
badboys|Action, Comedy|badboys.txt|Action/badboys.txt|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
badcountry|Action, Crime, Drama|badcountry.txt|Action/badcountry.txt|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
baddayatblackrock|Drama, Thriller, Western|baddayatblackrock.txt|Drama/baddayatblackrock.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1
baddreams|Horror, Thriller|baddreams.txt|Horror/baddreams.txt|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
badlands|Crime, Drama, Thriller|badlands.txt|Crime/badlands.txt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
badlieutenant|Crime, Drama|badlieutenant.txt|Crime/badlieutenant.txt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
badsanta|Comedy, Crime|badsanta.txt|Comedy/badsanta.txt|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
badteacher|Comedy|badteacher.txt|Comedy/badteacher.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
bamboozled|Comedy, Drama|bamboozled.txt|Comedy/bamboozled.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
barrylyndon|Drama, Romance, War|barrylyndon.txt|Drama/barrylyndon.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
bartonfink|Comedy, Drama, Thriller|bartonfink.txt|Comedy/bartonfink.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
basic|Drama, Mystery, Thriller|basic.txt|Drama/basic.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
basicinstinct|Crime, Mystery, Thriller|basicinstinct.txt|Crime/basicinstinct.txt|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
basquiat|Drama|basquiat.txt|Drama/basquiat.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
batman|Action, Crime, Fantasy, Thriller|batman.txt|Action/batman.txt|1|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0
batman2|Action, Crime, Fantasy, Thriller|batman2.txt|Action/batman2.txt|1|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0
battlelosangeles|Action, Sci-Fi|battlelosangeles.txt|Action/battlelosangeles.txt|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
battleofalgiersthe|Drama, War|battleofalgiersthe.txt|Drama/battleofalgiersthe.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
battleofshakerheightsthe|Comedy, Drama, Romance|battleofshakerheightsthe.txt|Comedy/battleofshakerheightsthe.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
beachthe|Adventure, Drama, Thriller|beachthe.txt|Adventure/beachthe.txt|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
bean|Comedy|bean.txt|Comedy/bean.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
beastsofthesouthernwild|Drama, Fantasy|beastsofthesouthernwild.txt|Drama/beastsofthesouthernwild.txt|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
beavisandbuttheaddoamerica|Animation, Comedy|beavisandbuttheaddoamerica.txt|Animation/beavisandbuttheaddoamerica.txt|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
beginners|Comedy, Drama, Romance|beginners.txt|Comedy/beginners.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
beinghuman|Comedy, Drama, Fantasy|beinghuman.txt|Comedy/beinghuman.txt|0|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
beingjohnmalkovich|Comedy, Fantasy|beingjohnmalkovich.txt|Comedy/beingjohnmalkovich.txt|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
beingthere|Comedy, Drama|beingthere.txt|Comedy/beingthere.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
believerthe|Drama|believerthe.txt|Drama/believerthe.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
beloved|Drama|beloved.txt|Drama/beloved.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
bestexoticmarigoldhotelthe|Comedy, Drama|bestexoticmarigoldhotelthe.txt|Comedy/bestexoticmarigoldhotelthe.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
big|Comedy, Family, Fantasy|big.txt|Comedy/big.txt|0|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
bigbluethe|Drama, Romance|bigbluethe.txt|Drama/bigbluethe.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
bigfish|Adventure, Comedy, Drama, Fantasy|bigfish.txt|Adventure/bigfish.txt|0|1|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
biglebowskithe|Comedy, Mystery, Thriller|biglebowskithe.txt|Comedy/biglebowskithe.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
bigwhitethe|Comedy, Crime, Drama|bigwhitethe.txt|Comedy/bigwhitethe.txt|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
birdsthe|Drama, Horror, Romance, Thriller|birdsthe.txt|Drama/birdsthe.txt|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|1|0|0|0|1|0|0
birthdaygirl|Comedy, Crime, Drama, Romance|birthdaygirl.txt|Comedy/birthdaygirl.txt|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
blackdahliathe|Crime, Drama, Mystery, Thriller|blackdahliathe.txt|Crime/blackdahliathe.txt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
blackrain|Action, Crime, Drama|blackrain.txt|Action/blackrain.txt|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
blacksnakemoan|Drama|blacksnakemoan.txt|Drama/blacksnakemoan.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
blackswan|Drama, Mystery, Thriller|blackswan.txt|Drama/blackswan.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
blade|Action, Horror, Sci-Fi|blade.txt|Action/blade.txt|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0
bladeii|Action, Horror, Thriller|bladeii.txt|Action/bladeii.txt|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
bladerunner|Action, Drama, Sci-Fi|bladerunner.txt|Action/bladerunner.txt|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
bladetrinity|Action, Fantasy, Horror, Thriller|bladetrinity.txt|Action/bladetrinity.txt|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0
blastfromthepastthe|Comedy, Drama, Romance|blastfromthepastthe.txt|Comedy/blastfromthepastthe.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
blindsidethe|Drama|blindsidethe.txt|Drama/blindsidethe.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
blingringthe|Crime, Drama|blingringthe.txt|Crime/blingringthe.txt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
bloodandwine|Crime, Drama, Thriller|bloodandwine.txt|Crime/bloodandwine.txt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
