movie|character|tokenCount|characterCount|sectionCount|anger|anticipation|disgust|fear|joy|sadness|surprise|trust
gandhi|Second Englishman|13|1|4|0.230769230769231|0.0769230769230769|0.153846153846154|0.307692307692308|0|0.153846153846154|0|0.153846153846154
gandhi|Constable|12|1|2|0|0.0833333333333333|0|0.0833333333333333|0|0.0833333333333333|0.0833333333333333|0.333333333333333
gandhi|Murrow|12|1|1|0|0|0|0.0833333333333333|0.0833333333333333|0.0833333333333333|0|0.25
gandhi|Civilian|11|1|3|0|0.454545454545455|0|0.181818181818182|0.272727272727273|0.0909090909090909|0.363636363636364|0.272727272727273
gandhi|First Young Man|11|1|2|0|0.0909090909090909|0|0|0.272727272727273|0|0.272727272727273|0.272727272727273
gandhi|Prakash|11|1|1|0.181818181818182|0|0.0909090909090909|0.272727272727273|0|0.181818181818182|0|0.181818181818182
gandhi|Shukla|11|1|3|0.0909090909090909|0.272727272727273|0|0|0.0909090909090909|0|0.0909090909090909|0.0909090909090909
gandhi|Sir George|11|1|4|0.0909090909090909|0|0.0909090909090909|0|0|0.0909090909090909|0|0.0909090909090909
gandhi|Brigadier|10|1|3|0.1|0|0.2|0.1|0|0.1|0|0.1
gandhi|Conductor|10|1|3|0.2|0|0.3|0.2|0|0.2|0|0
gandhi|Major|10|1|3|0.1|0|0|0.1|0|0|0.1|0
gandhi|Merchant|10|1|1|0.2|0.1|0.1|0.3|0.1|0.2|0.2|0.3
gandhi|Miner|10|1|2|0.3|0.1|0.3|0.1|0|0.3|0.1|0.2
gandhi|Nehru's Voice|9|1|1|0|0.222222222222222|0|0.111111111111111|0.222222222222222|0.222222222222222|0.222222222222222|0.333333333333333
gandhi|Police Sergeant|9|1|4|0.111111111111111|0|0.222222222222222|0.222222222222222|0.111111111111111|0.222222222222222|0|0.111111111111111
gandhi|Pyarelal|9|1|1|0|0|0|0|0.111111111111111|0|0.111111111111111|0.111111111111111
gandhi|Tyeb Mohammed|9|1|2|0.111111111111111|0|0.111111111111111|0.111111111111111|0|0.222222222222222|0|0.333333333333333
gandhi|Collins' Voice-Over|8|1|1|0.125|0.25|0|0.125|0.25|0.125|0.25|0.125
gandhi|Porter|8|1|4|0.25|0.125|0.25|0.25|0|0.25|0|0
gandhi|Smuts's Voice-Over|8|1|1|0.25|0.125|0.125|0.125|0.125|0.125|0|0.125
gandhi|Tail-Enders|8|1|1|0.375|0.25|0|0.5|0.125|0.125|0.25|0.125
gandhi|Batsman|7|1|2|0|0.285714285714286|0|0.142857142857143|0.285714285714286|0|0.142857142857143|0.285714285714286
gandhi|Chauffeur|7|1|2|0|0|0|0|0|0|0|0.285714285714286
gandhi|Doctor|7|1|1|0|0.285714285714286|0.142857142857143|0.142857142857143|0.285714285714286|0.285714285714286|0.571428571428571|0.285714285714286
gandhi|European|7|1|3|0.428571428571429|0|0.142857142857143|0.428571428571429|0|0.142857142857143|0|0.285714285714286
gandhi|Indian Barrister|7|1|1|0.142857142857143|0|0|0.428571428571429|0|0|0|0.285714285714286
gandhi|Second Indian|7|1|3|0|0.142857142857143|0|0|0.142857142857143|0|0.142857142857143|0.428571428571429
gandhi|Sergeant Putnam|7|1|3|0|0.142857142857143|0|0|0|0|0|0.428571428571429
gandhi|British Colonel|6|1|3|0|0|0|0|0|0|0|0.5
gandhi|First Friend|6|1|2|0.166666666666667|0.166666666666667|0|0.333333333333333|0|0|0|0
gandhi|First Indian|6|1|2|0|0|0|0|0.166666666666667|0|0|0.166666666666667
gandhi|Hindu Youth Leader|6|1|1|0.166666666666667|0|0.333333333333333|0.5|0|0.5|0|0
gandhi|Manu|6|1|2|0|0|0|0|0|0.333333333333333|0|0.333333333333333
gandhi|Colin's Mother|5|1|1|0|0|0|0|0|0.2|0|0
gandhi|Little Boy|5|1|2|0|0.4|0|0.2|0.2|0.2|0.2|0.2
gandhi|Mrs. Nehru|5|1|1|0.2|0.2|0|0.2|0|0.4|0.4|0
gandhi|Police Commissioner|5|1|1|0|0|0|0|0|0|0|0.2
gandhi|Policeman|5|1|2|0.4|0|0.4|0.2|0|0.2|0.2|0
gandhi|Sergeant|5|1|4|0.2|0|0.2|0.2|0|0.2|0|0
gandhi|A Voice|4|1|2|0.25|0.25|0.25|0.25|0.25|0|0|0.25
gandhi|Adc|4|1|2|0|0|0|0.25|0|0|0|0.5
gandhi|Announcer's Voice-Over|4|1|1|0.5|0|0|0.5|0|0.25|0|0
gandhi|First Youth|4|1|2|0.25|0.25|0.25|0.25|0.25|0.25|0|0.5
gandhi|Hunter|4|1|1|0|0.25|0|0|0.25|0|0|0.25
gandhi|Macdonald|4|1|1|0|0.5|0|0|0.5|0|0.25|0.5
gandhi|Marchers|4|1|1|0|0.5|0|0.25|0|0|0|0.25
gandhi|Police Superintendent|4|1|2|0.25|0|0|0|0|0.25|0|0
gandhi|Second Youth|4|1|1|0|0.25|0|0|0.25|0|0|0.5
gandhi|Adjutant|3|1|1|0|0|0|0|0.333333333333333|0|0|0.333333333333333
gandhi|Daniels|3|1|1|0|0|0|0|0|0.333333333333333|0|0.333333333333333
gandhi|Gandhi/Mirabehn|3|1|1|0|0|0|0|0|0.333333333333333|0|0
gandhi|Goonda Leader|3|1|1|0|0|0|0|0.666666666666667|0|0|0.666666666666667
gandhi|House Servant's Voice|3|1|1|0|0|0|0|0.333333333333333|0|0|0
gandhi|Indian|3|1|2|0|0|0|0|0|0|0|0
gandhi|Indian's Voice|3|1|1|0|1|0|0.666666666666667|1|0|0.666666666666667|1
gandhi|Patel's Voice|3|1|1|0.333333333333333|0|0.333333333333333|0.333333333333333|0|0|0|0.333333333333333
gandhi|Second Friend|3|1|2|0.333333333333333|0.666666666666667|0|0.333333333333333|0.333333333333333|0|0.333333333333333|0
gandhi|Second Indian Reporter|3|1|1|0.333333333333333|0|0|0.333333333333333|0|0.333333333333333|0|0
gandhi|Senior Officer|3|1|1|0.333333333333333|0.333333333333333|0.333333333333333|0.333333333333333|0.333333333333333|0.333333333333333|0.333333333333333|0.333333333333333
gandhi|Sonja|3|1|1|0|0|0|0.333333333333333|0|0|0|0.333333333333333
gandhi|Voice From The Gallery|3|1|1|0.666666666666667|0.333333333333333|0.333333333333333|0.666666666666667|0|0.666666666666667|0|0
gandhi|Wicket Keeper|3|1|1|0|0|0|0|0|0.333333333333333|0|0
gandhi|Chief Police Officer|2|1|1|0|0|0|0|0|0|0|0.5
gandhi|Corporal|2|1|2|0|0|0|0|0|0|0|1
