movie,leftSpaceCount,pctTokens,pctRecords,pctTokensI,pctTokensQuestionMark,pctTokensQuestionWord,pctTokensYou,pctTokensWe,pctTokensCapitalized,pctTokensCharacterMention,pctTokensCharacterMentionCapitalized,pctLinesCharacterMention,pctLinesCharacterMentionCapitalized,pctLinesOnlyCapitalizedCharacterMention,pctLinesCharacterDirection,pctLinesCapitalized,pctLinesSetting,dialogueIndentInd,characterIndentInd,descriptionIndentInd,settingIndentInd,characterDirectionIndentInd,mixedCharacterWithDialogueIndentInd,mixedDescriptionWithDialogueIndentInd,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount,mixedDescriptionWithDialogueIndentCount,entropy,pctRecordsDropped,pctTokensDropped
shampoo,39,0.000230202578268877,0.000371057513914657,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.48494230017838,0.0628942486085343,0.0349447513812155
shawshankredemptionthe,0,0.000993926007730536,0.000845844787481497,0,0,0,0,0,0.592592592592593,0.037037037037037,0,0.25,0,0,0.75,0,0,0,0,0,0,1,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shawshankredemptionthe,4,0.472041229523284,0.293085218862339,0.000467909225610232,0.000311939483740154,0.00210559151524604,0.00124775793496062,0.00413319815955705,0.0490524838181393,0.0559151524604227,0.00116977306402558,0.517316017316017,0.0108225108225108,0,0.00793650793650794,0.0137085137085137,0.00216450216450216,0,0,1,0,0,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shawshankredemptionthe,5,0.00121479845389288,0.00169168957496299,0,0,0,0,0,0.757575757575758,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shawshankredemptionthe,6,0.0162341247929321,0.0145908225840558,0,0,0,0,0,0.691609977324263,0.0385487528344671,0.0385487528344671,0.246376811594203,0.246376811594203,0,0.985507246376812,0.0144927536231884,0.985507246376812,0,0,0,1,1,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shawshankredemptionthe,7,0.0404196576477085,0.0397547050116304,0,0,0,0,0,0.694899817850638,0.0482695810564663,0.0482695810564663,0.281914893617021,0.281914893617021,0,0.803191489361702,0.00531914893617021,0.893617021276596,0,0,0,1,1,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shawshankredemptionthe,8,0.430443585496043,0.461831253964897,0.0376293508936971,0.0229196955443428,0.00915077396733088,0.0429316685196271,0.00538783887796117,0.0215513555118447,0.0161635166338835,0.000342085008124519,0.0865384615384615,0.00183150183150183,0,0.00320512820512821,0.010989010989011,0,1,0,0,0,0,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shawshankredemptionthe,12,0.00839315295416897,0.0205117360964263,0,0,0,0,0,0.0219298245614035,0.0614035087719298,0,0.144329896907216,0,0,1,0.0206185567010309,0,0,0,0,0,1,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shawshankredemptionthe,14,0.000110436223081171,0.000211461196870374,0,0,0,0,0,1,0.333333333333333,0.333333333333333,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shawshankredemptionthe,16,0.0297809681575557,0.166631423133855,0,0,0,0,0,0.990111248454883,0.834363411619283,0.833127317676143,0.856598984771574,0.855329949238579,0.855329949238579,0.00253807106598985,0.99492385786802,0,0,1,0,0,0,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
