movie,entropy,pctRecordsDropped,pctTokensDropped,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount
castaway,1.0422701293642,0.00883002207505519,0.00384316770186335,1,1,1,1,2,0
frankenstein,1.04271561657351,0.0346113989637306,0.0118453865336658,1,1,1,1,1,0
fugitivethe,1.04560693624413,0.0250477605603906,0.0098504342232229,1,1,1,1,1,0
nightmareonelmstreetthefinalchapter,1.04632991331529,0.00544824170381377,0.00171987079994966,1,1,1,1,1,0
mimic,1.05850983698603,0.0405679513184584,0.0166970398463281,1,1,1,1,1,0
shivers,1.06155136297477,0.0610504774897681,0.0210213289581624,1,1,1,1,1,0
braveheart,1.06214492292951,0.00887228578099463,0.0022604829898655,1,1,1,1,1,0
worldisnotenoughthe,1.06322464070126,0.0328365160689334,0.0111218568665377,1,1,1,1,1,0
silverbullet,1.06403627592324,0.00192492781520693,0.000625488663017983,1,2,1,1,0,0
codeofsilence,1.06617708508685,0.0419921875,0.0136093986274282,1,1,1,1,1,0
bladerunner,1.06655975711214,0.00213827512473272,0.000973322125381586,1,2,1,1,1,0
